product_id,name,main_category,sub_category,ratings,no_of_ratings,price (USD),cost (USD)
bx-97KCTZ,Pet Needs Nylon Two Color Combo Leash And Collar Set For Large Dog -1.5 Inch (Black),pet supplies,Dog supplies,3.7,20,7.0,3.8
bx-97KQLE,"MAYCREATE® 12 Pairs Adhesive Eyeglasses Nose Pads, D Shape Stick-on Anti-Slip White Silicone Eyeglasses Nose Pad Replaceme...",women's clothing,Clothing,5.0,1,7.0,0.8
bx-97KSAT,"MAP SHOPIFY Combo of Black, White and Pink Quartz Analogue Multicolour Dial Women's Watch with Rubber Belt",accessories,Watches,,,6.0,0.6
bx-97OO61,PV ENTERPRISES Attrective Rosegold and Silver Combo Wrist Analog Watch Girls and Woman Combo Watches Analog Watch - for Women,accessories,Watches,3.2,5,12.0,4.4
bx-97PD15,SKYLOFTS Fabric Neck Pillow (Blue_Micro Fibre),accessories,Bags & Luggage,4.1,84,11.0,0.8
bx-97RVZ9,J Royal Industries || Mens Watches Fashion Casual Stainless Steel Band Charming Wristwatches Mechanical Watch,accessories,Watches,,,36.0,8.0
bx-97UJS5,GROOT Valentine Analog Gold and Silver Color Dial Men Watch - BCPL35-BCPL1 (Pack of 2),accessories,Watches,,,15.0,0.4
bx-97UNJT,OM DESIGNER Latest Analog Women's & Girls Watch (Multicolour Dial Multi Colored Strap) Combo Pack of 2,accessories,Watches,,,12.0,0.0
bx-97UPMO,Getmytea Turmeric Herbal Pyramid Bags - Set of 20 Bags | Spiced Herbal Infusion | 100% Natural Herbs and Spices | No artif...,grocery & gourmet foods,"Coffee, Tea & Beverages",,,4.0,2.7
bx-97V2WP,boAt BassHeads 220 Wired in Ear Earphones with Inline Mic(Black),"tv, audio & cameras",All Electronics,4.1,"276,491",12.0,9.8
bx-97W1RT,HXQ Girl's Toy Little Cross-body Purse Princess Handbag,accessories,Bags & Luggage,3.7,42,11.0,6.1
bx-97WJR5,"Neelam Creation Women's Loose Fit Rayon Palazzo Pant (0_Maroon, Black_Free Size)",women's clothing,Clothing,3.7,66,12.0,2.8
bx-97X8ZR,PC 2.1 A 2 USB Wall Socket Charger Power Panel Receptacle 5 Outlet Switch (White),"tv, audio & cameras",All Electronics,3.9,"1,045",6.0,0.6
bx-97X96V,"i GEAR KeyBee Retro Typewriter Inspired 2.4GHz Wireless Keyboard and Mouse Set with USB Support, Single Nano Receiver, Rou...","tv, audio & cameras",All Electronics,4.2,"1,295",42.0,18.6
bx-97XYHY,Fezora® Wireless Powerful 120 WATTS Car Vaccum Cleaner with Custom Head Extension and Charging Cable - 2000 MAH Suction Po...,"tv, audio & cameras",All Electronics,3.2,38,23.0,17.2
bx-97YWJX,Xs and Os Women's Rainbow Socks Striped Over the Knee High Socks,women's clothing,Clothing,4.1,97,11.0,6.9
bx-97YY2P,Keepfit Cotton Spandex Slim fit Ankle Length Pocket Leggings for Women & Girls/Activewear Tights for Women with Two Pocket...,women's clothing,Clothing,3.9,104,14.0,3.0
bx-9809FM,URBAN WINGS Digital Light Powered Red Led Watch for Kids Boys & Girls (Blue),accessories,Watches,,,8.0,2.4
bx-980J10,JALTHER Women's Ikat Hand Block Print Jaipuri Cotton Mulmul Saree with Blouse Piece -Red_Jal530,women's clothing,Clothing,4.6,3,84.0,35.7
bx-981Q3R,"JIM HALO Rimless Y2K Sunglasses for Women Men, Oversized Trendy Shield Wrap Around Shades",women's clothing,Clothing,4.0,2,19.0,15.4
bx-981YNR,"HIPKOO SPORTS Aluminium, Polyester Jonex Ayush Badminton Complete Set (Multicolour, 2 Racket, Shuttlecocks and Net) - Pack...",sports & fitness,Badminton,3.7,21,11.0,1.9
bx-983DXU,CLOUDWOOD Analog Wrist Watch for Women's and Girls (WCH49),accessories,Watches,,,14.0,11.4
bx-985OOS,"FabSeasons Winter Gloves For Girls & Women, with faux fur on the inner for cold weather, Touchscreen enabled finger",women's clothing,Clothing,4.4,15,18.0,8.2
bx-986O9J,BRACKET INDIA SKY-011 Universal 14-32-inch LED LCD TV Wall Mount Bracket (Black),"tv, audio & cameras",All Electronics,3.4,"1,025",6.0,4.9
bx-9871UK,Swatch Unisex GB753 Originals Analog Display Swiss Quartz Black Watch,accessories,Watches,4.3,249,112.0,12.2
bx-98768T,Silvester | Glossy Grey I Analog Watch for Women | Dial with Printed and Design Style | Slim Watch for Girl | Brass Strap ...,accessories,Watches,,,14.0,11.8
bx-98776S,ishin Women's Art Silk Saree,women's clothing,Clothing,3.3,3,22.0,8.4
bx-9877B3,"Ambrane Fast 100W Output Cable with Type-C to Type-C for Mobile, Laptop, Macbook & Table Charging, 480mbps Data Sync Spee...","tv, audio & cameras",All Electronics,4.2,"1,034",11.0,5.4
bx-987BHN,"Wiselife Yoga Mat Bag Blue Premium Carry Bag, Full Easy Access Zip, Multi Functional Storage Pockets & Adjustable Shoulder...",sports & fitness,Yoga,4.1,69,12.0,9.0
bx-987IG0,"NVS Office Bags 16 INCH Black for Men, Office Messenger Bag, Office Laptop Bag",accessories,Bags & Luggage,3.9,521,16.0,5.6
bx-987T3G,"DIGITEK® (DRL-15C RGB) LED RGB Ring Light with Stand for YouTube, Photo-Shoot, Video Shoot, Live Stream, Makeup & More, Co...","tv, audio & cameras",All Electronics,4.1,"13,853",48.0,20.5
bx-988ZNY,Robustrion Smart Trifold Hard Back Flip Stand Case Cover for Samsung Galaxy Tab S8 Plus / S7 Plus / S7 FE Tablet Cover 12....,"tv, audio & cameras",All Electronics,4.2,459,24.0,20.2
bx-98901H,"Oraimo Palm Wireless Bluetooth Speaker Portable Speaker with 8W Studio Quality Sound, Powerful Bass, 5 Hours Playtime, IPX...","tv, audio & cameras",All Electronics,3.8,399,30.0,0.5
bx-98BJDO,GoArtea Flaming Red Aluminium Unisex RFID Blocking Card Holder (Charlie-Red),accessories,Bags & Luggage,4.2,607,20.0,14.6
bx-98C6T2,MAIRO LIFESTYLE Kauna Grass Straw Wicker Handmade Boho Summer Beach Tote Bag with Purple Tassel(Classic beige) (M),accessories,Bags & Luggage,,,24.0,17.4
bx-98CYH8,"Womens Yoga/Gym Pants Leggings 4 Way Stretch Tights with 2 Pockets, Anti Microbial UV Protect Quick Dry for Sports and Act...",women's clothing,Clothing,3.9,19,12.0,0.2
bx-98DASN,KIYANSH Father Daughter Keychain Dad Fathers Day Christmas Birthday Valentine Day Wedding Gifts from Daughter to Dad Daddy...,accessories,Bags & Luggage,5.0,2,12.0,6.9
bx-98DPSU,HET V CREATION Women's Case Material Metal Buckle Band Material Plastic Case Shape Round Stylist Watch - Pack of 1 (ST-1346,accessories,Watches,,,13.0,3.3
bx-98E2N2,GoSriKi Women's Cotton Blend Traditional Straight Printed Kurta with Pant Set (Satku Blue-FBF001-GS),women's clothing,Clothing,3.0,2,31.0,6.1
bx-98EVFL,Smarty Pants Women's Cotton Lycra Straight Leg Formal Trouser,women's clothing,Clothing,1.0,1,19.0,14.6
bx-98GMCX,UNIGEN 20W Type-C PD 3X Fast Charger [with 1M Type C to Lightening Cable] for Quick Charging Data Sync for iPhone 14 13 12...,"tv, audio & cameras",All Electronics,3.9,"1,775",36.0,4.3
bx-98GZIT,AARRAH Women Lucknowi Chikankari Georgette Saree with Tassel Border,women's clothing,Clothing,3.2,22,86.0,25.1
bx-98HB9B,ShopTalk Glitter Bottle 5 Level Key Chain Multicolor,accessories,Bags & Luggage,3.6,7,4.0,2.9
bx-98HT9T,GROOT Fashionable Analog Silver and Pink Color Dial Men Watch - BL46.110-BK195 (Pack of 2),accessories,Watches,,,16.0,7.5
bx-98HU8Z,STYSOL Analog Girl's Watch (Black Dial Silver Colored Strap),accessories,Watches,3.4,19,19.0,13.1
bx-98I08B,"SYGA HDMI Switch 4K HDMI Splitter, 1080P HDMI Splitter 1 In 2 Out /2 Input 1 Output, Plug & Play, Manual HDMI Switcher for...","tv, audio & cameras",All Electronics,4.0,95,12.0,6.4
bx-98I69N,"Rissachi Premium Heavy Duty Wall Mount Stand for 17 to 32-inch LCD LED TV (Black, Wall Mount)","tv, audio & cameras",All Electronics,3.8,"1,224",12.0,4.3
bx-98JCOO,BeeWee® - Soft Bag Butterfly Plush Backpack Stuff Toys School Picnic for Toddler Babies Kids 2 to 6 Years Boys and Girls 3...,accessories,Bags & Luggage,4.1,73,10.0,6.3
bx-98K3SR,PALAY Women's Mesh Hat (PA01_Pink_Free Size),women's clothing,Clothing,4.2,83,9.0,7.7
bx-98KM20,NewMom Women Lycra Non Padded Non-Wired Maternity Bra,women's clothing,Clothing,3.7,542,12.0,2.2
bx-98KR2Y,"Navya Export Toiletry Bag,Hanging Travel Bag for Women and Men,Water-resistant Cosmetic Travel Bags with Handle and Hook,M...",accessories,Bags & Luggage,3.9,25,12.0,9.6
bx-98L725,Vihu Fashion Women's Banglori Silk Printed Elbow Length Sleeve Blouse,women's clothing,Clothing,3.3,20,36.0,24.9
